"gene_symbol","tissue","baseMean","log2FoldChange","pvalue"
"SLC25A42","LIVER",1.6824150032863,2.25980777120316,0.0838725471942352
"SLC5A6","LIVER",11.6837445903812,-1.5048317513305,0.0854190838769163
"SLC6A4","LIVER",1.8798337767777,2.15648507751801,0.0867329145684601
"SLC9A6","LIVER",1.66873322364069,2.23951711700789,0.0883134475335207
"ABCD1","LIVER",2.66289470504187,2.12104389931758,0.0897290828383175
"SLC16A3","LIVER",1.78931231099048,2.12342617275083,0.0930374381413979
"SLC7A11","LIVER",1.75446228641098,2.26644909488101,0.0933071890944888
"SLC2A12","LIVER",1.83743608037685,2.07702761306503,0.093740775664586
"SLC26A6","LIVER",1.6951430720255,2.21848888496332,0.0939163901277828
"SLC35E2B","LIVER",8.54440768217387,-1.36976548111161,0.0976799097360763
"SLC4A11","LIVER",2.20848267803473,1.92144596609047,0.099258850084769
"SLC35D1","LIVER",6.38155622671156,-1.30891635465549,0.101025378837901
"SLC24A3","LIVER",1.26165276661354,2.32284264809712,0.102503906872778
"SLC43A3","LIVER",1.24024500951514,2.3056515667665,0.104152732313971
"MCT7","LIVER",1.24797098696792,2.30357599645704,0.105239479958934
"SLC52A3","LIVER",1.24797098696792,2.30357599645704,0.105239479958934
"SLC20A2","LIVER",5.5315013012401,1.35427849427927,0.109810279665335
"SLC25A20","LIVER",1.99413299827754,2.02501110645695,0.111367307433485
"SLC2A3","LIVER",4.27531561373399,2.06409339341641,0.111701795775132
"SLC25A38","LIVER",1.58705254125039,2.08067607029214,0.114498406990121
"SLC35B1","LIVER",1.99317928737112,1.99811156012077,0.115851249980037
"SLC38A9","LIVER",1.98777854952712,1.98514747941933,0.117875896975526
"SLC16A2","LIVER",1.89494591455179,1.8799832253566,0.120774772257629
"SLC12A7","LIVER",8.08052759555522,1.78958715026831,0.123520006034267
"SLC7A6","LIVER",1.87400502171826,1.71411316109726,0.125614558921307
"SLC51A","LIVER",1.99049461338095,1.98304190742338,0.125648857353407
"SLC25A6","LIVER",30.3237062979766,-1.12660353243256,0.126798944795566
"ABCB8","LIVER",2.35462230965841,1.89051614206012,0.127235644434241
"SLC30A1","LIVER",2.85475916035104,1.87499683769066,0.130692071697536
"SLC1A4","LIVER",1.50727928067294,2.00047190847903,0.130765798506902
"SLC2A11","LIVER",2.46227689205626,1.5852421319366,0.131120285221149
"SLC39A5","LIVER",6.04795345587142,-1.35636488018644,0.132848095526725
"SLC39A3","LIVER",1.565644784152,2.04685610863348,0.133543350750311
"SLC37A3","LIVER",2.0082325957191,1.93213113166947,0.133847253090936
"ABCC1","LIVER",3.43183600215224,1.9011814113787,0.134984016661549
"SLC25A51","LIVER",2.27484904908095,1.83489709331289,0.13982052271574
"SLC13A4","LIVER",1.15951803803127,2.10644340962279,0.14505504205873
"SLC22A12","LIVER",1.15951803803127,2.10644340962279,0.14505504205873
"SLC22A8","LIVER",1.15951803803127,2.10644340962279,0.14505504205873
"SLC27A6","LIVER",1.15951803803127,2.10644340962279,0.14505504205873
"SLC2A8","LIVER",1.15951803803127,2.10644340962279,0.14505504205873
"SLC50A1","LIVER",1.15951803803127,2.10644340962279,0.14505504205873
"SLC6A18","LIVER",1.15951803803127,2.10644340962279,0.14505504205873
"SLC38A1","LIVER",7.92931145127088,-1.28568805723887,0.145229133499437
"SLC16A14","LIVER",1.16724401548405,2.10461394534658,0.14627435884546
"SLC38A5","LIVER",1.16724401548405,2.10461394534658,0.14627435884546
"SLC38A6","LIVER",1.16724401548405,2.10461394534658,0.14627435884546
"SLC6A14","LIVER",1.16724401548405,2.10461394534658,0.14627435884546
"SLCO4A1","LIVER",1.16724401548405,2.10461394534658,0.14627435884546
"SLC35F6","LIVER",2.26021355852892,1.80175343483695,0.147340458043044
"SLC25A24","LIVER",2.0169122840783,1.91058607031489,0.149516852544869
"SLC25A44","LIVER",2.26616936072175,1.79478409372191,0.15172995012451
"SLC30A7","LIVER",1.87372439424664,1.82019536072228,0.15809391027553
"SLC38A7","LIVER",1.83172534440337,1.78973671944809,0.164171497929133
"SLC34A2","SKIN",2.71022826562136,3.96005152339232,0.00371742556273177
"SLC9A1","LIVER",2.68083854864879,1.70349427927278,0.179724302282955
"ABCB6","LIVER",2.33635625652232,1.75099882341294,0.181612312214466
"SLC9A3R2","LIVER",3.45354765489611,1.68199846576347,0.189007852559351
"SLC22A17","LIVER",2.21125519420771,1.38731510447813,0.192068503336465
"SLC22A18","SKIN",1.82052640112345,3.3503313554652,0.00691929019363995
"SLC4A4","SKIN",4.26584712523592,2.6277361685834,0.00706755804538303
"SLC12A2","LIVER",2.73151728685125,1.70952803683275,0.197799262762029
"SLC13A2","SKIN",1.73766674496305,3.35139760502905,0.00952026738566804
"SLC5A12","SKIN",1.75574001794696,3.37682082168502,0.0111981895044842
"SLC6A18","SKIN",1.65229463032552,3.28435322610462,0.0135607725798829
"SLC26A3","SKIN",3.43707171511902,2.98487972789332,0.0146536694873596
"SLC22A2","SKIN",1.05831452127996,3.33298189489745,0.0150129414172911
"SLC22A1","SKIN",1.54884924270407,3.18502056086285,0.0166213395961677
"SLC5A2","SKIN",1.00659182746924,3.25950809223486,0.0176749530400181
"SLC35A4","LIVER",3.26473015263713,1.59038597964155,0.213667561842668
"SLC35F2","LIVER",1.75332361252828,1.6232160138339,0.214546595972631
"SLC15A2","LIVER",1.79990693586202,1.68744132570743,0.215382994134429
"SLC25A33","LIVER",1.67122511234204,1.59959307560096,0.215568368253685
"SLC39A8","LIVER",1.75790788601876,1.6600501968101,0.217754227218167
"SLC19A2","LIVER",2.02494215717655,1.55119074897348,0.218570515670051
"SLC17A5","LIVER",1.33214355805957,1.66070420019533,0.22204675748019
"SLC36A4","LIVER",1.33214355805957,1.66070420019533,0.22204675748019
"SLC25A4","LIVER",23.3546127274644,1.16497696004908,0.226548721580033
"SLC35E3","LIVER",1.32441758060679,1.65187318227688,0.236752843298733
"SLC39A10","LIVER",1.59145185176459,1.51899910959997,0.24160389514899
"SLC6A9","LIVER",1.61881541105582,1.53495832349517,0.242911669534774
"SLC2A13","LIVER",1.35355131515797,1.62234357913182,0.246090354756727
"SLC25A17","LIVER",2.00490592878052,1.47919336964612,0.246121581275931
"SLC7A6OS","LIVER",1.7036318782268,1.28867196694538,0.250818694893652
"SLC37A1","LIVER",2.28506691523509,1.41666849881927,0.255485131301931
"SLC6A20","LIVER",4.96328548461617,-1.04114847407246,0.258422868674748
"SLCO2A1","LIVER",2.57633086403435,1.38687555963597,0.270321187048677
"SLC35B3","LIVER",1.91049717765103,1.40096207710787,0.273321211947655
"SLC25A29","LIVER",4.81254160765645,1.01497246425195,0.273661888808811
"SLC6A19","WAT",1.86640952547701,2.69044456885228,0.0108613127854738
"SLCO1B3","WAT",0.956576323243705,3.33571964212438,0.020131921572147
"SLC15A1","WAT",1.22562016337027,3.08484168532197,0.0227877879353877
"SLC4A3","WAT",2.59458970957352,2.48166488052518,0.0304422236022381
"ABCC9","WAT",2.41142225936632,2.3758734759731,0.0304424794869953
"SLC2A4","WAT",2.08603329488983,2.09273190738674,0.0362327387583696
"SLC9B2","WAT",1.63906725162795,2.42819772895587,0.0364940563356618
"ABCD1","WAT",1.93381031791172,1.93472346764554,0.0391342070953527
"SLC27A4","WAT",2.19134637553934,1.87574641579961,0.0406804118699462
"SLC8A1","WAT",4.05918906692056,2.33997684578116,0.0409227524656729
"SLC25A34","WAT",2.23686991667986,1.92008901808297,0.0415806008458596
"SLC41A1","WAT",4.92316251528757,2.335499894406,0.0422202677456964
"SLC1A1","WAT",1.9215200526016,1.93584663145751,0.0423909758667463
"ABCB4","WAT",0.79849133095427,2.97369071092695,0.0462884588881702
"SLC27A1","WAT",2.1726227365703,1.87547948811962,0.0478402289061127
"SLC1A3","WAT",1.02144027159272,2.74533924232661,0.0493026673492225
"ABCA6","WAT",2.11537516480712,1.80066731222235,0.0505858668151465
"SLC38A3","WAT",1.44432258787174,2.2143209036303,0.0509057354611107
"ABCC2","WAT",2.0273299368885,1.74683445215856,0.0511698994888807
"SLC25A15","WAT",2.0273299368885,1.74683445215856,0.0511698994888807
"SLC25A3","WAT",5.80587249848618,2.07802345235708,0.0514206852952735
"SLC40A1","WAT",2.06956594449281,1.76209050290144,0.0518477845046051
"SLC7A9","WAT",1.6468998763375,1.98607816271813,0.0548326489634741
"SLC51B","WAT",1.65505069425014,2.00960163405635,0.0566097949700103
"SLC25A30","WAT",3.36641027598508,2.17154632157968,0.0590538124046846
"SLC7A2","WAT",1.43624120100918,2.14339948665044,0.0640141945497642
"SLC17A4","WAT",0.930889992949062,2.58331806419766,0.0641534372573397
"SLCO5A1","WAT",1.24438921223116,2.49293900137878,0.0641837588099673
"SLC1A2","WAT",1.43517303902419,2.16960230818272,0.0675577999481689
"SLC5A1","WAT",3.57250213132862,2.1639374685904,0.0694276601108957
"SLC25A37","WAT",1.92991891199862,1.6032461277581,0.0723715465362652
"ABCB11","WAT",0.719448834809552,2.72203752580881,0.0747978759865305
"SLC22A7","WAT",0.719448834809552,2.72203752580881,0.0747978759865305
"ABCG8","WAT",1.20222263567694,2.4024485034212,0.077363507387047
"SLC25A12","WAT",2.33832410544557,1.75616563131469,0.0776409947264029
"SLC19A1","WAT",1.84973882281884,1.58110610152961,0.080994940304853
"ABCA5","WAT",2.19310073681385,1.58597043318823,0.0811304695595236
"SLC30A1","WAT",1.87489071178667,1.55973206009158,0.0830711585469476
"SLC22A1","WAT",1.92056107000083,1.6708379257621,0.0834546086880367
"SLC22A18","WAT",1.83716287833492,1.58919719539702,0.0837681114627949
"ABCG2","WAT",2.15651049639716,1.55244262962765,0.0855798810891469
"SLC5A12","WAT",2.97864351638651,1.9470113686852,0.0859708081008023
"SLC5A9","WAT",1.32540231777411,2.0198778297422,0.0889246357645218
"SLC25A11","WAT",2.72964518025606,1.8147953547662,0.0907370952936038
"SLC2A2","WAT",1.52983025103604,1.79176361865583,0.0909786960278001
"SLC12A7","WAT",3.95482824656764,1.79021942103566,0.0943265319514921
"ABCC6","WAT",1.48624040227296,1.79534036186277,0.0950839637781482
"SLC10A2","WAT",1.55535086675895,1.86030333844987,0.0955536011137989
"SLC22A2","WAT",1.53198019153719,1.86955346724958,0.10008034069276
"SLC27A5","WAT",1.08737238192671,2.16725128539891,0.101053078310811
"SLC25A20","WAT",1.50110514935819,1.78527553832706,0.101107145918658
"SLC25A46","WAT",1.50110514935819,1.78527553832706,0.101107145918658
"SLC51A","WAT",1.47852774216546,1.78824450041552,0.104349270873844
"SLC35F5","WAT",1.82321947616103,1.50259720495154,0.109140315203608
"SLC35A4","WAT",2.34365167943009,1.49882680541968,0.111023856932159
"SLC9A3R2","WAT",1.97741306253736,1.38364017146343,0.114506545512401
"SLC16A7","WAT",2.645808830785,1.72935330093481,0.117007528729038
"SLC9A1","WAT",1.98449571846502,1.40295870071612,0.117129795301431
"SLC30A9","WAT",1.79920518022825,1.45341722455889,0.117958429631995
"ABCD3","WAT",2.20958098307343,1.37684134792433,0.120028171817391
"ABCF3","WAT",2.20958098307343,1.37684134792433,0.120028171817391
"SLC34A2","WAT",0.831190165457864,2.25692282468028,0.120494361904788
"SLC26A1","WAT",2.16370233170904,1.3727018603539,0.121499365148829
"SLC26A6","WAT",1.45893857280396,1.70232905289861,0.123688952898977
"SLC34A3","WAT",1.79684694657686,1.50566655733427,0.124139554239976
"SLC16A10","WAT",2.17405890464172,1.3357970621904,0.124577882877671
"SLC2A3","WAT",2.75578256421841,1.68681151798222,0.125079271086308
"SLC25A51","WAT",2.18449852515568,1.35078289330625,0.127939407096057
"SLC6A6","WAT",2.744477413312,1.5953914235528,0.131718692332681
"SLC35F6","WAT",1.89394543982137,1.3136676725331,0.135397638559853
"SLC46A2","WAT",1.01754886567962,2.00908583374272,0.135861643263576
"SLC16A4","WAT",0.995753941298074,2.01271693009584,0.136683033129203
"SLC27A6","WAT",1.00832988578199,1.99624137415128,0.138714973342025
"SLC25A38","WAT",1.38547241279678,1.61562589051491,0.143984277198966
"SLC38A4","WAT",1.02090583026591,1.99426238448479,0.146960286712063
"SLC30A2","WAT",1.00939804776697,1.9883262876193,0.148169851888576
"SLC17A1","WAT",1.22083920590648,1.82143972045896,0.149185126466247
"SLC25A39","WAT",2.06071497068162,1.21361928386384,0.152636234479667
"ABCB6","WAT",1.86993114388859,1.26741787461557,0.153107435716044
"SLC10A3","WAT",1.53859783718813,1.45244401737142,0.154968271518606
"SLC31A1","WAT",1.87099930587357,1.26614097452789,0.156062746297779
"ABCB8","WAT",1.88250708837251,1.25505629367904,0.157921467807024
"SLC35E1","WAT",1.87328810847489,1.24998048604056,0.161210543261518
"SLCO3A1","WAT",2.47018832611356,1.38909312774012,0.163071448818491
"SLC37A1","WAT",1.88143892638753,1.26539553449225,0.164478282062054
"SLC25A42","WAT",1.361458116864,1.55520084819605,0.165706577745257
"SLC22A6","WAT",1.53037758822541,1.49374810532382,0.165853030725693
"SLC35E4","WAT",0.975096609951593,1.89663637141911,0.166803582134531
"ABCF2","WAT",1.68250428168186,1.3190269531409,0.168688207221277
"SLC23A2","WAT",2.29288289121769,1.23625353510142,0.171981300849489
"SLC25A43","WAT",1.15223633027572,1.70059302242624,0.172939411221529
"SLC39A4","WAT",1.17882510798361,1.79214455691257,0.175103324956679
"SLC39A8","WAT",1.68792813918804,1.35058396648055,0.176182393272244
"ABCB10","WAT",1.50536456135773,1.38964872332274,0.181456810664897
"SLCO2B1","WAT",2.22199121298562,1.17142884177441,0.188769916282412
"ABCC1","WAT",2.54799694570156,1.30572202959432,0.191497153600258
"SLC38A7","WAT",1.30642991665206,1.48454466122938,0.191980201644003
"SLC39A14","WAT",3.10494995833724,1.35072698443802,0.193291854104949
"SLC33A1","WAT",1.64112018793882,1.24795303397378,0.196579977102007
"SLC45A4","WAT",2.16803117475866,1.11239248865785,0.197107833452858
"SLC35A5","WAT",1.31900586113598,1.47361351980533,0.197684119047302
"SLC10A7","WAT",1.12822203434295,1.6229075093732,0.197972636769252
"SLC9A6","WAT",1.66291511232036,1.24160775755846,0.19926572075267
"SLC11A2","WAT",2.18060711924258,1.10640182750729,0.201093056673244
"SLC12A2","WAT",2.28852719569649,1.25733010514774,0.201527690051387
"SLC27A3","WAT",1.10749527194639,1.61088885832523,0.201572146945864
"ABCD4","WAT",1.80346459222779,1.15776694067802,0.202058465145204
"SLC25A13","WAT",1.79531377431515,1.15011510843249,0.203662878484155
"SLC22A3","WAT",1.11900305444532,1.61530314377632,0.203788115044272
"SLC15A4","WAT",1.79424561233017,1.15133630048176,0.204897407477609
"SLC38A2","WAT",3.40328513482912,1.3613817038424,0.205031729977691
"SLC13A2","WAT",2.32818305996798,1.25458928700885,0.208316929920265
"SLC5A2","WAT",1.46391103656461,1.37571869055917,0.210870547249507
"SLC25A23","WAT",2.15401834153469,1.08210815157724,0.211660488295687
"SLC44A2","WAT",3.28322727169643,1.31079030924788,0.213752543243052
"SLC13A1","WAT",1.94508223412021,1.09390460140446,0.21593672444281
"SLC37A3","WAT",1.60346178553714,1.21093293208102,0.218635760815925
"ABCA3","WAT",2.14630568142719,1.06814037841439,0.221721047952168
"SLC25A27","WAT",1.61710589200604,1.19144513138401,0.222082341523704
"SLC29A3","WAT",1.27319664082166,1.40673592161446,0.223010575894973
"SLC2A5","WAT",1.2388257719562,1.42640350816173,0.227113943948892
"ABCB7","WAT",1.60788691210842,1.18580624494132,0.227252082903907
"SLC18B1","WAT",1.2949915652032,1.4094471778929,0.22734135043005
"ABCA7","WAT",1.76580618982612,1.12954573311634,0.228597363030622
"SLC25A44","WAT",1.58609198772687,1.19472787816403,0.229657068803599
"SLC16A5","WAT",2.10927728320535,1.03683723809909,0.229999326593275
"SLC35C2","WAT",1.77023131639739,1.10014726764505,0.232029262567759
"SLC38A5","WAT",1.10420773841017,1.55590505619186,0.23204949737494
"SLC39A9","WAT",2.09234564320023,1.00817802734936,0.232889316835017
"SLC27A2","WAT",1.2993472607244,1.44974619027704,0.233251804062877
"SLC23A3","WAT",1.43067776073421,1.31235813384881,0.237635314871895
"SLC5A11","WAT",1.2524698784251,1.40145235739394,0.237705861087341
"ABCA2","WAT",3.93455181717016,1.23085478918097,0.244371452907693
"SLC15A3","WAT",1.43889800969693,1.26069605779318,0.247156909698793
"SLC6A18","WAT",2.30967566912265,1.23488091670311,0.24746737203773
"SLC30A3","WAT",1.08790610258489,1.49519529092396,0.253590763744132
"SLC19A2","WAT",1.5620776917941,1.13449069339386,0.253951219473862
"SLC39A7","WAT",2.05911236736983,0.956590885940955,0.258608077541186
"SLC10A1","WAT",1.23996336499126,1.32461793555452,0.259222857925976
"SLC52A3","WAT",1.23996336499126,1.32461793555452,0.259222857925976
"SLC4A2","WAT",2.87224759647436,1.16696720562976,0.260152822897191
"SLC5A8","WAT",1.72549025806806,1.0559689062756,0.262762813254072
"SLC26A11","WAT",1.69447635378889,1.05425907872542,0.263121302630885
"ABCF1","WAT",2.8505221031429,1.16304736947795,0.265228654151427
"SLC39A1","WAT",1.70598413628783,1.04112969455627,0.265693002661707
"SLC25A40","WAT",1.23074438509363,1.31749753554732,0.266108567558837
"SLC16A14","WAT",1.04917953819823,1.44401838560926,0.266124092483617
"SLC7A8","WAT",1.68190040930497,1.06593859584576,0.268846263075539
"SLC25A33","WAT",1.23181254707862,1.30689235110247,0.269835579549988
"SLC25A48","WAT",1.2192366025947,1.32139991281982,0.270102560344891
"SLC35E3","WAT",1.0399605583006,1.4301123682366,0.271188767442333
"ABCC5","WAT",2.52673574197819,1.06970658388846,0.273421968208668
"SLC25A16","WAT",1.05360466476951,1.39931104062702,0.279844047174799
"SLC30A6","WAT",1.38386980948499,1.18714125099455,0.280324941290084
"SLC35B3","WAT",1.38386980948499,1.18714125099455,0.280324941290084
"SLC9A2","WAT",2.02252212695314,0.923214206955413,0.281511288975009
"ABCA12","WAT",0.849176731507575,1.58518126619525,0.283671935005872
"SLC30A10","WAT",0.849176731507575,1.58518126619525,0.283671935005872
"SLC3A2","WAT",2.46835057717995,1.03178317202824,0.28476867445049
"SLC46A3","WAT",2.19966184727727,0.930279590610131,0.28628389118034
"SLC44A1","WAT",2.47763898812766,1.02880127809544,0.289861737121734
"SLC25A25","WAT",1.99593334924525,0.903269867107835,0.290138906453422
"SLC30A5","WAT",1.5288444159637,1.06689588763732,0.291486054377496
"SLC17A5","WAT",1.19415414467694,1.25309594554818,0.293805263529912
"SLC36A1","WAT",1.66017491597351,0.993165431308544,0.294609738636552
"SLC19A3","WAT",1.1723592202954,1.25965906331179,0.295516799771438
"SLC20A1","WAT",2.70973747761365,1.06655469952564,0.298074487918136
"SLC39A3","WAT",1.18493516477932,1.24147879566121,0.298755317106087
"SLC13A3","WAT",2.52111682726216,1.1946673046395,0.299369465882889
"SLC16A9","WAT",1.36421120907341,1.17518296766592,0.300790086665544
"SLC12A3","WAT",1.92002662867403,1.32992803236249,0.301077944931578
"SLC31A2","LIVER",1.30184433937719,1.32327180547774,0.284803613790436
"SLC13A4","WAT",0.994151337986286,1.33788625291895,0.309230323232504
"SLC38A6","WAT",0.994151337986286,1.33788625291895,0.309230323232504
"SLC6A9","WAT",1.35543038698093,1.17409946248906,0.310293684130196
"SLC35B1","WAT",1.33806058917067,1.12185944220537,0.313170528056193
"MCT7","WAT",0.993083176001304,1.38826219507455,0.315228244674824
"SLCO2A1","WAT",1.94905596694595,0.862010697610971,0.315506413193311
"SLCO4C1","WAT",1.00779544445519,1.30650917419101,0.31883697842087
"SLC7A11","WAT",1.00672728247021,1.32704966540322,0.320064637246597
"SLC30A7","WAT",1.32884160927305,1.11558804403124,0.320698703046794
"SLC6A12","WAT",1.32990977125803,1.10682221069604,0.322660042110507
"SLC10A3","LIVER",1.84385063237035,1.34088854011307,0.288969826445741
"SLC22A6","SKIN",1.36639009061463,3.02000351374194,0.0234261819233812
"SLC38A9","WAT",1.4819670336644,1.01854623764057,0.327649337839125
"SLC5A9","LIVER",1.52440665992633,1.38071361501767,0.295869558850779
"SLC25A36","LIVER",3.35260363445387,1.05049102052009,0.295921917758885
"SLC36A1","LIVER",2.1638496691632,1.30429790004577,0.29705467212138
"SLC13A5","WAT",1.63616062004073,0.935279803260021,0.330024710631859
"SLC4A1","WAT",1.1996474332332,1.21506043980753,0.33226543412171
"ABCB7","LIVER",1.82244287527195,1.3254410816664,0.30366526798478
"SLC25A48","LIVER",1.24369060912292,1.45233675825641,0.307459357210417
"SLCO4C1","LIVER",1.24369060912292,1.45233675825641,0.307459357210417
"SLC35D2","WAT",1.16092086884654,1.15924821271825,0.339339761543288
"ABCE1","WAT",1.63951758462703,0.914206013177704,0.345179476595274
"SLC35A2","WAT",1.29225136885635,1.05776941467463,0.352217958700344
"SLC22A12","WAT",2.66609143374087,1.1103906298194,0.353480276699878
"SLC16A12","WAT",2.01111062797586,1.1460318382285,0.354683828125708
"ABCC10","WAT",2.54250293647667,0.919192122751555,0.355105674217432
"SLC30A4","WAT",1.30482731334027,1.04031732159879,0.358758663163775
"SLC35A1","LIVER",1.59189357427394,1.18858377028237,0.321692367800673
"SLC14A1","LIVER",1.25914256402848,1.40389903732115,0.324430582252307
"SLC6A17","LIVER",1.25914256402848,1.40389903732115,0.324430582252307
"SLC11A1","WAT",0.960918062155887,1.20958779835811,0.366500679341539
"SLC2A8","WAT",0.960918062155887,1.20958779835811,0.366500679341539
