Tissue,Gene,baseMean,log2FoldChange (HFHS/Ct),lfcSE,stat,pvalue,padj,score
KidneyMedulla,SLC18B1,3.086556565,-1.799868799,1.277745916,-1.408628098,0.158945166,NA,NA
SmIntestine,SLC18B1,2.952285725,2.369015533,1.3626334,1.738556778,0.082112755,0.999951041,5.04E-05
Spleen,SLC18B1,4.958856461,0.315568441,1.156781119,0.272798748,0.785007922,0.956981307,0.006026267
WAT,SLC18B1,5.498031206,0.5998275,1.235025356,0.485680311,0.627193845,0.914691733,0.023228468
Spleen,SLC19A1,7.035571543,-0.748711651,1.116619705,-0.670516244,NA,NA,NA
Skin,SLC19A1,8.630638493,1.847396965,1.19457698,1.546486326,NA,NA,NA
Liver,SLC19A1,3.545762047,-0.161619477,1.294278875,-0.124872221,0.900624711,NA,NA
Lung,SLC19A1,6.64812725,0.289644447,0.959443304,0.301888028,0.762737422,NA,NA
Heart,SLC19A1,1.755141844,-1.146090499,1.760006754,-0.651185285,0.514926888,NA,NA
LgIntestine,SLC19A1,2.793641193,0.914387722,1.388715746,0.658441243,0.510254641,NA,NA
KidneyCortex,SLC19A1,7.638757052,-1.065904127,1.006587988,-1.058927922,0.289632607,NA,NA
SmIntestine,SLC19A1,9.546631527,0.803227285,1.418094144,0.56641323,0.571112903,0.999951041,1.71E-05
Muscle,SLC19A1,14.55431789,-0.560278426,1.159184111,-0.4833386,0.628855336,0.846946856,0.040420637
WAT,SLC19A1,16.07649352,1.928514799,1.045457397,1.844661298,0.065086824,0.680671014,0.322182973
KidneyMedulla,SLC19A1,11.46607033,1.865038887,1.075864689,1.733525513,0.083002307,0.610000244,0.400367881
Lung,SLC19A2,5.373924491,0.468142781,1.284161911,0.364551212,0.715446439,NA,NA
KidneyCortex,SLC19A2,6.065701276,-0.674241601,1.0336552,-0.652288694,0.514214952,NA,NA
KidneyMedulla,SLC19A2,5.959806014,0.851781624,1.242882674,0.685327458,0.493137309,NA,NA
Liver,SLC19A2,4.488241973,1.204112665,1.250920067,0.962581621,0.335757525,NA,NA
Heart,SLC19A2,1.735317386,-2.030034387,1.89661151,-1.070348026,0.284462684,NA,NA
LgIntestine,SLC19A2,6.377214955,-1.654103905,1.266403225,-1.306143156,0.191503879,NA,NA
SmIntestine,SLC19A2,7.732177888,-0.513002137,1.263914354,-0.405883623,0.684828112,0.999951041,1.09E-05
WAT,SLC19A2,9.467493448,0.627366743,0.866263013,0.724222012,0.468929447,0.869271578,0.038171828
Spleen,SLC19A2,7.090857521,1.221280326,1.029434349,1.186360575,0.235479934,0.762618539,0.143735707
Skin,SLC19A2,8.351562736,-1.675255344,1.118805977,-1.497360023,0.134299604,0.612083498,0.357146563
Muscle,SLC19A2,14.44687135,2.025601749,1.392272814,1.454888531,0.145700123,0.429098128,0.744293954
Muscle,SLC19A3,2.023601505,-0.153875686,2.051332683,-0.075012545,NA,NA,NA
Spleen,SLC19A3,0.309090489,-0.046078401,3.108190864,-0.01482483,0.98817193,NA,NA
KidneyMedulla,SLC19A3,2.748802388,0.718801602,1.805956618,0.398017092,0.690617587,NA,NA
KidneyCortex,SLC19A3,2.335579815,-0.80054925,1.560630683,-0.512965213,0.607975655,NA,NA
LgIntestine,SLC19A3,0.978261647,1.175836234,1.826176372,0.64387879,0.519654036,NA,NA
Skin,SLC19A3,1.379114586,1.636255256,1.960912919,0.834435451,0.404035647,NA,NA
WAT,SLC19A3,2.389490661,1.79194278,1.779632269,1.006917446,0.313974447,NA,NA
Heart,SLC19A3,0.100895924,-3.261611257,3.064409041,-1.064352445,0.287169068,NA,NA
Liver,SLC19A3,0.635884976,2.63782126,2.475592234,1.065531401,0.286635524,NA,NA
Lung,SLC19A3,0.869198943,3.097432984,2.253435245,1.37453827,0.169274638,NA,NA
SmIntestine,SLC19A3,1.593443591,1.672512475,1.870531592,0.894137518,0.371248318,0.999951041,3.56E-05
Heart,SLC1A1,3.340097535,-0.037345097,2.194362976,-0.017018651,NA,NA,NA
Skin,SLC1A1,6.621749349,-1.351661894,1.659117767,-0.814687131,NA,NA,NA
KidneyCortex,SLC1A1,6.761368811,-2.383178016,1.337239305,-1.782162705,0.074722703,NA,NA
LgIntestine,SLC1A1,6.816823041,4.211260207,1.296086621,3.249212004,0.001157252,NA,NA
SmIntestine,SLC1A1,23.05351687,3.03961031,1.619040575,1.877414536,0.060461301,0.999951041,6.46E-05
Liver,SLC1A1,15.87480811,0.119824008,1.785861783,0.067095903,0.946505356,0.990329893,0.000505671
Lung,SLC1A1,11.55145204,0.822706324,1.632085996,0.504082705,0.61420326,0.987770624,0.004396455
Spleen,SLC1A1,10.41711757,0.945306807,1.480362597,0.638564369,0.523106367,0.888573292,0.048500615
KidneyMedulla,SLC1A1,16.01003193,-1.765817527,1.618465047,-1.091044586,0.275253264,0.83254103,0.140549106
WAT,SLC1A1,13.44076325,3.672219989,1.239030282,2.963785503,0.0030388,0.406024303,1.437483062
Muscle,SLC1A1,35.62954471,3.03215418,1.557932553,1.946267939,0.051622563,0.251417179,1.818094959
Lung,SLC1A2,11.82392464,-0.346223568,1.483967492,-0.233309402,NA,NA,NA
KidneyCortex,SLC1A2,2.756374746,-0.444899349,1.162331146,-0.382764714,0.701894227,NA,NA
Heart,SLC1A2,4.421479222,-2.264010864,1.692744569,-1.337479325,0.181066227,NA,NA
KidneyMedulla,SLC1A2,8.677414324,-2.20628393,1.593443557,-1.384601243,0.166174431,NA,NA
LgIntestine,SLC1A2,3.421204047,2.516115281,1.640320361,1.533916996,0.125050074,NA,NA
Skin,SLC1A2,7.98380872,-2.382247518,1.211384664,-1.966549181,0.049235207,NA,NA
Muscle,SLC1A2,8.063768203,3.711837536,1.601231744,2.318113883,0.020443133,NA,NA
SmIntestine,SLC1A2,12.95651005,-0.089083764,1.893767757,-0.047040491,0.962480956,0.999951041,1.89E-06
Liver,SLC1A2,8.326525019,-0.890992919,1.421713823,-0.626703423,0.53085366,0.906283012,0.038077617
Spleen,SLC1A2,5.771483774,2.590422643,1.675384343,1.5461662,0.122064434,0.687239996,0.42195802
WAT,SLC1A2,9.563136301,3.319664339,1.266542748,2.621044054,0.008766093,0.515563138,0.955127653
Heart,SLC1A3,2.485826268,-2.465320086,2.011076677,-1.225870756,0.220247315,NA,NA
Muscle,SLC1A3,10.11715261,-2.649843556,1.363898883,-1.942844582,0.052034939,NA,NA
LgIntestine,SLC1A3,3.100813911,-3.227295999,1.597506057,-2.020208928,0.043361721,NA,NA
Liver,SLC1A3,3.423089904,3.718597986,1.625736335,2.287331535,0.022176479,NA,NA
KidneyMedulla,SLC1A3,5.112967539,-4.835929643,1.742268032,-2.775651941,0.005509115,NA,NA
Skin,SLC1A3,4.166040992,-4.745624671,1.462975067,-3.243817873,0.001179391,NA,NA
SmIntestine,SLC1A3,15.90548207,2.316109334,1.946785679,1.189709458,0.234160607,0.999951041,4.92E-05
Lung,SLC1A3,10.36806403,-0.691599447,1.7231584,-0.401355701,0.68815826,0.99193722,0.002431535
Spleen,SLC1A3,14.00643428,0.612654445,1.877889141,0.326246333,0.744237989,0.945934687,0.014788773
KidneyCortex,SLC1A3,24.24429128,-0.579537934,1.456534002,-0.397888366,0.690712476,0.942374092,0.014938554
WAT,SLC1A3,10.15975376,0.938374885,1.367318672,0.686288357,0.49253129,0.877327828,0.053335441
KidneyMedulla,SLC1A4,4.242682117,0.226116401,1.387362217,0.16298296,0.870531851,NA,NA
Skin,SLC1A4,5.942635373,0.415420302,1.269924294,0.3271221,0.743575537,NA,NA
Liver,SLC1A4,2.12948535,0.481152199,1.273011827,0.377963652,0.705457596,NA,NA
LgIntestine,SLC1A4,1.283362511,0.753671418,1.511155895,0.498738363,0.617963714,NA,NA
Lung,SLC1A4,1.938981478,0.736484247,1.399549337,0.52622957,0.598728711,NA,NA
Heart,SLC1A4,2.923533592,1.437272393,2.083447628,0.689852902,0.490286697,NA,NA
KidneyCortex,SLC1A4,3.961074288,-1.086277408,1.233394886,-0.880721511,0.378468571,NA,NA
SmIntestine,SLC1A4,11.89675559,-1.053676617,1.437052673,-0.733220596,0.463423896,0.999951041,2.24E-05
WAT,SLC1A4,7.905086285,0.010613534,0.996804396,0.010647559,0.991504637,0.998380957,7.47E-06
Muscle,SLC1A4,16.30907855,0.227475756,1.463539364,0.155428519,0.876483503,0.96121139,0.003908282
Spleen,SLC1A4,8.058139655,1.14094949,1.096935326,1.040124667,0.298281985,0.793813937,0.114415876
LgIntestine,SLC1A5,12.5244032,0.195840001,1.301716053,0.150447558,NA,NA,NA
Skin,SLC1A5,25.48688247,2.941326987,1.036441096,2.837910419,NA,NA,NA
Liver,SLC1A5,4.866672999,-0.239878361,1.121293021,-0.21393013,0.830601544,NA,NA
SmIntestine,SLC1A5,50.8599467,1.396965841,1.424703711,0.98053078,0.326824184,0.999951041,2.97E-05
Lung,SLC1A5,22.19098814,0.526750464,0.933929428,0.564015276,0.572743736,0.983302881,0.003851962
Spleen,SLC1A5,31.95906936,-0.461557912,0.926476107,-0.498186525,0.618352579,0.916580831,0.01746038
KidneyCortex,SLC1A5,48.31984502,-1.093326432,1.142896769,-0.956627459,0.338755324,0.809405847,0.100404171
WAT,SLC1A5,69.76769369,1.583357706,1.068976229,1.481190754,0.138555749,0.756228309,0.192135817
Muscle,SLC1A5,75.59200816,-0.977975233,1.245566477,-0.785165024,0.432356819,0.719515603,0.139811128
Heart,SLC1A5,8.547614288,1.456871172,1.457563543,0.99952498,0.317540444,0.666887926,0.256332323
KidneyMedulla,SLC1A5,59.01032053,4.090536042,1.210319489,3.379715917,0.000725608,0.098579733,4.115947938
LgIntestine,SLC20A1,39.675196,2.701899392,1.235839787,2.186286136,NA,NA,NA
Liver,SLC20A1,52.90363904,-0.557750587,1.59314606,-0.350093818,NA,NA,NA
SmIntestine,SLC20A1,64.20346228,-0.374191073,1.546956685,-0.241888527,NA,NA,NA
KidneyMedulla,SLC20A1,64.47582491,1.948792064,1.347517537,1.446209055,NA,NA,NA
Spleen,SLC20A1,18.66240113,0.027477495,1.028522799,0.026715494,0.978686655,0.9963144,4.41E-05
WAT,SLC20A1,27.91567111,0.393083197,0.982628964,0.40003217,0.689132823,0.930197508,0.012352572
KidneyCortex,SLC20A1,28.6644495,-0.572980913,1.128403385,-0.507780215,0.611607487,0.919880996,0.020781074
Heart,SLC20A1,8.303695822,-2.054673059,1.606303957,-1.279130921,0.200850957,0.539067471,0.55138564
Skin,SLC20A1,26.82450015,2.065036034,1.027069691,2.010609457,0.044366724,0.390212294,0.843978268
Lung,SLC20A1,44.4785594,2.778754254,1.081945995,2.568292935,0.010220075,0.322293679,1.366447437
Muscle,SLC20A1,62.47807968,2.404373999,1.220010571,1.970781284,0.048748898,0.244681971,1.470029526
Lung,SLC20A2,17.24403237,-1.611338324,1.151740031,-1.399046904,NA,NA,NA
WAT,SLC20A2,32.31745822,2.175700234,1.119682913,1.943139624,NA,NA,NA
LgIntestine,SLC20A2,3.877470817,-0.396854627,1.041121132,-0.381180071,0.703069636,NA,NA
SmIntestine,SLC20A2,31.57776897,0.630588064,1.430510479,0.440813313,0.659348155,0.999951041,1.34E-05
KidneyCortex,SLC20A2,21.31369156,0.088468763,1.028091154,0.086051478,0.931425495,0.991607883,0.000323798
Muscle,SLC20A2,15.14845438,0.107848796,1.167610207,0.092367123,0.92640636,0.975672922,0.001153524
KidneyMedulla,SLC20A2,20.74285139,-1.10961461,1.287493298,-0.861841076,0.388774978,0.881509785,0.060776769
Spleen,SLC20A2,7.462871869,1.099741638,1.076224309,1.021851699,0.306851096,0.798743126,0.107326939
Skin,SLC20A2,23.43894486,-1.276799545,1.058589062,-1.206133325,0.227766087,0.719028335,0.182906635
Heart,SLC20A2,15.3446772,-3.06641926,1.321595158,-2.320240993,0.020327844,0.154750851,2.484924834
Liver,SLC20A2,11.70824202,2.606636731,0.922332419,2.826135867,0.004711328,0.129638491,2.312780229
Heart,SLC22A1,5.851408171,-2.387304788,2.082463272,-1.146385063,NA,NA,NA
Skin,SLC22A1,13.28637541,5.944487996,3.005892217,1.977611826,NA,NA,NA
SmIntestine,SLC22A1,62.48382563,-0.773327214,2.003910737,-0.385909013,0.699564056,0.999951041,1.64E-05
Spleen,SLC22A1,24.82979535,-0.166448554,1.681877692,-0.098965909,0.921165338,0.987840514,0.000884369
Liver,SLC22A1,38.42112202,-0.307169981,2.168584196,-0.141645403,0.887360102,0.979749812,0.002729147
Muscle,SLC22A1,86.24294531,1.202703914,3.052189335,0.3940463,0.693546856,0.878361809,0.067744169
WAT,SLC22A1,21.66397824,2.64262158,1.602796298,1.648756978,0.099197432,0.726001665,0.367489255
LgIntestine,SLC22A1,22.19102087,4.925758654,2.953785198,1.667608957,0.095393379,0.390635241,2.010835461
KidneyCortex,SLC22A1,32.67511828,-4.286935746,1.516970609,-2.82598471,0.004713551,0.234825744,2.697572718
KidneyMedulla,SLC22A1,24.788864,5.026539384,1.77575324,2.830651957,0.004645324,0.223999714,3.266006717
Lung,SLC22A1,42.75539122,6.975363966,1.80963458,3.854570443,0.000115933,0.025853059,11.07330701
Heart,SLC22A11,0,NA,NA,NA,NA,NA,NA
Liver,SLC22A11,0,NA,NA,NA,NA,NA,NA
Spleen,SLC22A11,0.29848779,-0.444415952,3.220441587,-0.137998451,0.890241641,NA,NA
Muscle,SLC22A11,0.794374308,-0.8071846,2.187231529,-0.369043967,0.712094953,NA,NA
Lung,SLC22A11,0.123501441,1.298257636,3.068393941,0.42310657,0.672217509,NA,NA
LgIntestine,SLC22A11,0.08905675,1.425828538,3.068508831,0.464664962,0.642171404,NA,NA
WAT,SLC22A11,0.82981012,1.801571236,2.721292924,0.662027678,0.507953483,NA,NA
Skin,SLC22A11,0.59479545,2.090950967,2.75883373,0.757911194,0.448504148,NA,NA
KidneyMedulla,SLC22A11,0.570044409,2.289850576,2.57429381,0.889506305,0.373731036,NA,NA
KidneyCortex,SLC22A11,1.654546713,-4.55542784,1.846801006,-2.466658739,0.013638026,NA,NA
SmIntestine,SLC22A11,0.798894736,2.140931992,2.35015174,0.910976068,0.362307983,0.999951041,4.55E-05
Lung,SLC22A12,9.136066941,5.398081299,1.802008963,2.995590704,NA,NA,NA
Skin,SLC22A12,35.80918002,3.517629471,2.91122727,1.208297788,NA,NA,NA
Muscle,SLC22A12,44.16750593,-0.888172755,3.065974404,-0.289686944,NA,NA,NA
KidneyCortex,SLC22A12,971.6104453,-7.15714873,2.904755034,-2.463942276,NA,NA,NA
Liver,SLC22A12,0.200826405,-0.846869497,3.091592509,-0.273926624,0.784141011,NA,NA
LgIntestine,SLC22A12,5.737087964,1.084438411,2.961498162,0.366178992,0.714231517,NA,NA
Heart,SLC22A12,0.350314503,-1.257957921,2.995043581,-0.420013228,0.674475791,NA,NA
SmIntestine,SLC22A12,15.77297701,1.476576338,2.137985383,0.690639117,0.489792358,0.999951041,3.14E-05
WAT,SLC22A12,19.40817271,1.802416597,2.921990826,0.616845399,0.537336704,0.888806127,0.092271042
Spleen,SLC22A12,57.1093352,-6.247055541,2.864199847,-2.181082283,0.029177331,0.492888485,1.91941611
KidneyMedulla,SLC22A12,69.46918344,8.742836288,3.125613948,2.797158073,0.00515543,0.227551847,5.620941123
Skin,SLC22A13,0.940873644,-0.092356458,1.83068292,-0.050449183,0.959764444,NA,NA
KidneyMedulla,SLC22A13,0.86681024,-0.132538012,2.318423322,-0.057167305,0.954411923,NA,NA
WAT,SLC22A13,1.343737885,0.109074761,1.567516708,0.069584433,0.944524428,NA,NA
LgIntestine,SLC22A13,0.236447392,-0.174808555,2.225913842,-0.078533388,0.937403773,NA,NA
Lung,SLC22A13,0.178717617,-0.560303182,2.711400206,-0.206647171,0.836285418,NA,NA
KidneyCortex,SLC22A13,0.458876024,-0.44354695,1.982420807,-0.22374006,0.822959573,NA,NA
Spleen,SLC22A13,0.903851126,0.72056287,1.806596784,0.398850965,0.690003022,NA,NA
Muscle,SLC22A13,1.238517054,-0.742986122,1.759745215,-0.422212327,0.672870045,NA,NA
Heart,SLC22A13,0.198013946,-1.564612518,3.007504684,-0.520236104,0.602899025,NA,NA
Liver,SLC22A13,1.550923937,1.780496084,1.625707849,1.095212824,0.273423409,NA,NA
SmIntestine,SLC22A13,1.530254363,0.566767987,1.997174111,0.283784966,0.776575177,0.999951041,1.21E-05
Muscle,SLC22A15,2.624952682,0.145060616,1.282698001,0.113090233,0.909959018,NA,NA
KidneyCortex,SLC22A15,2.398164607,0.150178386,1.209713561,0.124143756,0.901201454,NA,NA
KidneyMedulla,SLC22A15,1.692555231,0.522118569,1.563498897,0.333942397,0.738423026,NA,NA
LgIntestine,SLC22A15,0.94626104,-0.501440222,1.422457867,-0.352516748,0.72445076,NA,NA
Spleen,SLC22A15,2.954492755,0.617688414,1.269376969,0.486607548,0.626536474,NA,NA
Heart,SLC22A15,0.546053082,-1.570274184,2.981304024,-0.526707163,0.598396961,NA,NA
Skin,SLC22A15,1.717533285,0.86836416,1.465725148,0.592446791,0.553551442,NA,NA
Lung,SLC22A15,1.546445623,0.895005866,1.510685644,0.592450104,0.553549224,NA,NA
Liver,SLC22A15,1.517562948,3.264598858,1.927457461,1.693733285,0.090315977,NA,NA
SmIntestine,SLC22A15,1.132635692,0.876121447,1.587634717,0.551840696,0.581057502,0.999951041,1.86E-05
WAT,SLC22A15,4.824767199,0.359252641,1.0462935,0.343357424,0.731329585,0.940800041,0.009521155
Heart,SLC22A17,3.623808105,0.427501287,1.659944405,0.257539521,0.796762311,NA,NA
Muscle,SLC22A17,8.516777282,-0.421327749,1.253310934,-0.336171765,0.736741343,NA,NA
Liver,SLC22A17,2.368996939,0.460001446,1.271501426,0.36177816,0.717517814,NA,NA
KidneyCortex,SLC22A17,5.306885195,0.63382245,1.161152729,0.545856229,0.585164768,NA,NA
LgIntestine,SLC22A17,2.758156795,-0.927528988,1.381374155,-0.671453845,0.501931453,NA,NA
Skin,SLC22A17,3.210809898,1.074823988,1.311514364,0.819528949,0.412484692,NA,NA
Lung,SLC22A17,3.825310395,-1.297972083,1.226356252,-1.058397249,0.289874373,NA,NA
KidneyMedulla,SLC22A17,5.851671194,-1.395877347,1.219894953,-1.144260286,0.252515708,NA,NA
SmIntestine,SLC22A17,13.28442274,1.783991729,1.455174793,1.225963876,0.220212269,0.999951041,3.79E-05
WAT,SLC22A17,6.446777906,-0.335178687,0.956583099,-0.350391605,0.726044826,0.938988809,0.009163646
Spleen,SLC22A17,11.4353047,2.619081969,1.019242433,2.569635921,0.010180545,0.337684721,1.234867262
Liver,SLC22A18,31.84405012,-0.073423866,1.625270289,-0.045176403,NA,NA,NA
Heart,SLC22A18,4.010808789,-2.977525045,1.897294072,-1.569353475,0.116565598,NA,NA
SmIntestine,SLC22A18,28.48030568,0.016629909,1.566648638,0.010614958,0.991530648,0.999951041,3.54E-07
Spleen,SLC22A18,7.179809793,0.491988801,1.414834796,0.347735865,0.728038559,0.942038111,0.012758021
Muscle,SLC22A18,33.4805778,1.077742591,1.669925775,0.64538353,0.518678674,0.778763953,0.11703655
KidneyCortex,SLC22A18,11.57107259,-1.516458296,1.324815424,-1.144656281,0.252351568,0.75525307,0.184867641
LgIntestine,SLC22A18,10.21448479,1.528515183,1.359048686,1.124694942,0.260718326,0.593191804,0.34667467
WAT,SLC22A18,12.85834519,2.901113758,1.190496064,2.436894876,0.014813985,0.552782683,0.746878886
Skin,SLC22A18,12.58862134,3.762683947,1.542293547,2.439667828,0.014700772,0.240352782,2.329668953
KidneyMedulla,SLC22A18,11.54269635,4.434475368,1.582111285,2.802884606,0.005064779,0.227551847,2.851011289
Lung,SLC22A18,15.33094538,4.417352681,1.314600719,3.360223843,0.000778793,0.078432038,4.883412108
Lung,SLC22A2,1.84797234,3.974793989,2.043536488,1.94505653,NA,NA,NA
LgIntestine,SLC22A2,1.964405179,1.600399606,1.891866446,0.845936884,NA,NA,NA
SmIntestine,SLC22A2,3.964905127,0.220961396,2.150342087,0.102756393,NA,NA,NA
Skin,SLC22A2,5.136802705,5.13299834,3.013243451,1.703479465,NA,NA,NA
WAT,SLC22A2,6.52338106,2.057515271,2.943078272,0.699103143,NA,NA,NA
Muscle,SLC22A2,9.187803188,-0.466558011,3.086813201,-0.151145528,NA,NA,NA
Liver,SLC22A2,0.147798531,-1.148446886,2.809074868,-0.40883456,0.682661076,NA,NA
Heart,SLC22A2,0.043241694,-4.550290455,3.08464962,-1.475140135,0.140174872,NA,NA
Spleen,SLC22A2,6.649783167,-4.138503224,1.846154309,-2.241688685,0.0249815,0.465410259,1.374661982
KidneyMedulla,SLC22A2,8.942920678,4.782590017,1.823455813,2.622816513,0.008720622,0.288044381,2.58518404
KidneyCortex,SLC22A2,27.10706712,-4.104492482,1.513041206,-2.712743358,0.006672876,0.265578118,2.363398423
SmIntestine,SLC22A23,32.04804453,-1.107889144,1.25291549,-0.8842489,0.376561866,0.999951041,2.36E-05
KidneyCortex,SLC22A23,23.78253112,-0.265601176,1.088930377,-0.243910154,0.807300405,0.969525616,0.003569869
Heart,SLC22A23,7.643285152,-0.221516536,1.398578045,-0.158386968,0.874151882,0.963583511,0.003568773
Lung,SLC22A23,21.35114106,1.058581014,1.182932006,0.894879003,0.370851772,0.960541764,0.018507963
Liver,SLC22A23,37.23875415,0.51303153,1.496957293,0.34271621,0.731811966,0.958430636,0.009459949
Muscle,SLC22A23,51.49038343,0.591176033,1.214961068,0.486580227,0.626555838,0.845251074,0.043164286
KidneyMedulla,SLC22A23,24.44451937,1.303518632,1.213273749,1.074381304,0.282651819,0.838148787,0.099952348
Spleen,SLC22A23,9.94753785,-1.143988574,1.132242714,-1.010373977,0.312316151,0.802371668,0.109393238
Skin,SLC22A23,28.61459388,1.359333073,1.169207246,1.162610887,0.244987412,0.735875089,0.18105759
WAT,SLC22A23,26.45249154,1.821551115,1.033832139,1.761940886,0.078079286,0.6963319,0.28631816
LgIntestine,SLC22A23,17.4844692,2.344049293,1.296116315,1.808517697,0.070525965,0.341701681,1.093154151
KidneyMedulla,SLC22A3,6.775520648,-4.552962418,1.678600837,-2.712355622,NA,NA,NA
Spleen,SLC22A3,3.390711059,0.193745021,1.330435358,0.145625279,0.884217211,NA,NA
KidneyCortex,SLC22A3,5.585246114,0.696391198,1.109234266,0.627812554,0.530126741,NA,NA
LgIntestine,SLC22A3,5.203241349,0.946658561,1.424987717,0.664327523,0.506480709,NA,NA
Liver,SLC22A3,3.330652268,-1.001808532,1.467155952,-0.68282348,0.494718391,NA,NA
Muscle,SLC22A3,6.931466026,1.534439446,1.409993487,1.088259953,0.276480364,NA,NA
SmIntestine,SLC22A3,15.37589223,1.416270067,1.702400247,0.831925436,0.405451034,0.999951041,3.01E-05
Lung,SLC22A3,12.69337644,0.293670311,1.311375999,0.223940587,0.822803534,0.995598806,0.000562565
WAT,SLC22A3,7.951194008,0.324954104,1.42173552,0.228561571,0.819209696,0.959823365,0.005787004
Skin,SLC22A3,11.78750622,-1.485186031,1.355971585,-1.095292886,0.273388343,0.760953667,0.176205123
Heart,SLC22A3,4.851794052,-2.775853835,1.534975236,-1.808403008,0.0705438,0.320921842,1.370163464
Lung,SLC22A4,0.433864613,0.052926382,2.224407728,0.023793472,0.981017347,NA,NA
LgIntestine,SLC22A4,0.224735093,0.096947054,2.291563211,0.042306079,0.966254699,NA,NA
Liver,SLC22A4,0.080517653,-0.898854459,3.090259966,-0.29086694,0.771153087,NA,NA
WAT,SLC22A4,1.24020066,0.537415454,1.488287895,0.361096435,0.718027358,NA,NA
Skin,SLC22A4,1.360967105,0.703894196,1.711826404,0.411194847,0.680929667,NA,NA
KidneyCortex,SLC22A4,0.92393374,0.72290226,1.574564802,0.459112422,0.646153436,NA,NA
Spleen,SLC22A4,1.121845797,1.011271671,1.634376281,0.618750824,0.536080522,NA,NA
Muscle,SLC22A4,3.267690856,-1.026943325,1.561851646,-0.657516563,0.510848825,NA,NA
Heart,SLC22A4,0.122325572,-2.981286552,3.046948782,-0.978449841,0.327851888,NA,NA
KidneyMedulla,SLC22A4,1.5039645,2.245860419,1.861801973,1.206283188,0.227708318,NA,NA
SmIntestine,SLC22A4,0.515985632,0.119914707,2.000246754,0.059949957,0.952195491,0.999951041,2.55E-06
Liver,SLC22A5,3.598847667,-0.02222527,1.265107197,-0.017567895,0.985983569,NA,NA
LgIntestine,SLC22A5,5.889684597,1.298584131,1.040958465,1.247488901,0.212218287,NA,NA
KidneyCortex,SLC22A5,8.236730824,-1.797893379,1.102195386,-1.631192983,0.102849605,NA,NA
SmIntestine,SLC22A5,6.195987107,1.264279433,1.285113099,0.983788458,0.325219536,0.999951041,2.69E-05
Skin,SLC22A5,14.95120081,0.247019339,1.272968994,0.194049769,0.846136912,0.979138556,0.002261671
Lung,SLC22A5,9.996646314,0.900031584,0.999347064,0.90061963,0.367790594,0.95912908,0.016311219
WAT,SLC22A5,11.27539353,0.430727307,1.182702386,0.364189091,0.715716813,0.935425647,0.012487098
Spleen,SLC22A5,18.0916766,1.606950512,1.350541708,1.189856265,0.234102891,0.762199622,0.189509716
KidneyMedulla,SLC22A5,14.37488806,1.747212061,1.177872012,1.483363255,0.137977925,0.722743296,0.24638473
Muscle,SLC22A5,20.60574299,1.318850819,1.240805738,1.062898711,0.287827888,0.602055539,0.290626508
Heart,SLC22A5,6.142873107,2.616222532,1.669235572,1.567317745,0.11704044,0.418107182,0.99079584
Liver,SLC22A6,0,NA,NA,NA,NA,NA,NA
Lung,SLC22A6,2.284776652,4.181289946,2.404720263,1.738784345,NA,NA,NA
LgIntestine,SLC22A6,2.540815731,1.766352694,2.986252026,0.59149485,NA,NA,NA
SmIntestine,SLC22A6,5.306133416,-0.310414017,2.027411307,-0.153108556,NA,NA,NA
Skin,SLC22A6,7.89466146,7.487671198,3.029896532,2.471263001,NA,NA,NA
Muscle,SLC22A6,19.05272737,-1.142565548,3.073408065,-0.371758492,NA,NA,NA
KidneyCortex,SLC22A6,291.0308277,-7.471475087,2.919605147,-2.559070392,NA,NA,NA
Heart,SLC22A6,0.137120498,-3.769903078,3.083663486,-1.222540363,0.22150335,NA,NA
WAT,SLC22A6,4.880031435,2.240045809,1.815391155,1.233919094,0.217233054,0.794127481,0.224250482
Spleen,SLC22A6,6.435507556,-4.366413444,3.170594201,-1.377159348,0.168462987,0.724390845,0.611415982
KidneyMedulla,SLC22A6,21.16307536,6.419296778,1.855678607,3.459271856,0.000541638,0.092138628,6.647555797
SmIntestine,SLC22A7,31.4024444,0.682697111,1.862129454,0.366621724,NA,NA,NA
Muscle,SLC22A7,40.81250346,5.814175015,3.14372027,1.849456859,NA,NA,NA
KidneyMedulla,SLC22A7,0.302448042,0.189191621,2.558364324,0.073950226,0.94104999,NA,NA
Skin,SLC22A7,0.217983025,0.688822276,3.098773476,0.222288683,0.824089161,NA,NA
KidneyCortex,SLC22A7,0.358508134,-2.19980545,2.373025266,-0.927004647,0.353924121,NA,NA
Heart,SLC22A7,2.721871417,-4.094818255,2.578269161,-1.588204334,0.112240141,NA,NA
WAT,SLC22A7,0.657049584,4.262509947,2.664695087,1.5996239,0.109682043,NA,NA
LgIntestine,SLC22A7,5.988680933,5.645062486,3.009274108,1.875888431,0.060670602,NA,NA
Lung,SLC22A7,4.154939254,3.920295586,2.002364677,1.957832971,0.050249615,NA,NA
Spleen,SLC22A7,3.879563497,5.583655074,1.849833002,3.018464406,0.002540592,NA,NA
Liver,SLC22A7,26.28206441,-1.299245232,2.245493481,-0.578601204,0.562858292,0.922754443,0.04536166
LgIntestine,SLC22A8,10.2735671,1.985118064,1.769267585,1.121999906,NA,NA,NA
Lung,SLC22A8,13.39905026,6.117523575,1.843138973,3.319078846,NA,NA,NA
SmIntestine,SLC22A8,20.89095945,0.289728221,2.254427981,0.128515181,NA,NA,NA
