Tissue,Gene,baseMean,log2FoldChange (HFHS/Ct),lfcSE,stat,pvalue,padj,score
Liver,SLC12A1,0.473758281,1.911623104,2.270208753,0.842047279,0.39976149,NA,NA
Lung,SLC12A1,5.842473267,3.263676516,1.936395145,1.68543932,0.091903843,NA,NA
KidneyCortex,SLC12A1,136.7035437,-4.921291412,2.239453313,-2.197541419,0.027981802,0.409938417,1.905924532
KidneyMedulla,SLC12A1,27.32076727,4.465053666,1.762485414,2.533384748,0.011296688,0.305918012,2.296801062
Liver,SLC12A2,7.437356953,-0.207352061,1.534814332,-0.135099117,NA,NA,NA
LgIntestine,SLC12A2,6.689748858,-0.411034323,1.092854295,-0.376110818,0.706834512,NA,NA
SmIntestine,SLC12A2,10.33738536,-0.644932974,1.214195858,-0.531160578,0.595307508,0.999951041,1.37E-05
Spleen,SLC12A2,11.09362879,0.064694524,1.166893441,0.055441673,0.955786597,0.993070672,0.000195367
Skin,SLC12A2,21.57531003,0.178678859,1.179355472,0.151505516,0.87957696,0.98667452,0.001040999
Lung,SLC12A2,17.2546227,0.748616391,1.172115056,0.638688486,0.523025605,0.979198741,0.006834234
KidneyCortex,SLC12A2,20.27779317,0.494746316,0.98740161,0.501058851,0.616329705,0.922370968,0.017362813
KidneyMedulla,SLC12A2,27.83808742,1.313115677,1.404680232,0.934814663,0.349883822,0.868761224,0.080230805
