"gene_tissue","gene_Symbol","tissue","1_Chow","1_HF","2_Chow","2_HF","3_Chow","3_HF","4_Chow","4_HF","5_Chow","5_HF"
"ABCA1_HEART","ABCA1","HEART",2,12,1,9,1,21,2,7,4,1
"ABCA1_KIDNEY-CORTEX","ABCA1","KIDNEY-CORTEX",2,13,8,17,8,15,5,26,5,15
"ABCA1_KIDNEY-MED","ABCA1","KIDNEY-MED",1,1,1,6,NA,8,1,2,1,29
"ABCA1_LARGE","ABCA1","LARGE",1,10,1,1,1,17,2,7,3,1
"ABCA1_LIVER","ABCA1","LIVER",0,6,0,3,56,8,6,8,1,12
"ABCA1_LUNG","ABCA1","LUNG",0,21,1,6,7,19,1,13,5,3
"ABCA1_MUSCLE","ABCA1","MUSCLE",0,18,1,6,1,12,1,16,6,21
"ABCA1_SKIN","ABCA1","SKIN",0,5,2,7,6,13,1,13,6,9
"ABCA1_SMALL","ABCA1","SMALL",1,3,0,3,2,5,1,5,2,3
"ABCA1_SPLEEN","ABCA1","SPLEEN",2,11,0,30,1,4,2,1,4,8
"ABCA1_WAT","ABCA1","WAT",0,1,0,10,7,5,0,1,9,9
"ABCA12_HEART","ABCA12","HEART",0,1,0,5,1,1,0,0,0,1
"ABCA12_KIDNEY-CORTEX","ABCA12","KIDNEY-CORTEX",0,0,0,0,0,0,0,14,0,1
"ABCA12_KIDNEY-MED","ABCA12","KIDNEY-MED",1,1,1,1,NA,1,0,1,1,1
"ABCA12_LARGE","ABCA12","LARGE",1,1,1,1,1,0,0,1,1,1
"ABCA12_LIVER","ABCA12","LIVER",0,1,0,5,0,1,1,1,1,1
"ABCA12_LUNG","ABCA12","LUNG",0,0,1,1,0,10,0,0,0,2
"ABCA12_MUSCLE","ABCA12","MUSCLE",0,1,1,1,0,1,0,0,0,1
"ABCA12_SKIN","ABCA12","SKIN",0,4,1,1,0,1,0,1,0,1
"ABCA12_SMALL","ABCA12","SMALL",0,1,0,1,0,0,0,1,0,1
"ABCA12_SPLEEN","ABCA12","SPLEEN",0,1,0,9,1,1,0,1,0,1
"ABCA12_WAT","ABCA12","WAT",0,1,0,1,0,1,0,1,2,1
"ABCA2_HEART","ABCA2","HEART",2,8,1,9,1,16,1,4,4,1
"ABCA2_KIDNEY-CORTEX","ABCA2","KIDNEY-CORTEX",2,16,3,11,11,9,5,19,6,10
"ABCA2_KIDNEY-MED","ABCA2","KIDNEY-MED",1,1,1,5,NA,7,1,3,1,19
"ABCA2_LARGE","ABCA2","LARGE",1,6,1,1,1,9,2,2,3,1
"ABCA2_LIVER","ABCA2","LIVER",0,11,0,3,5,1,6,7,1,17
"ABCA2_LUNG","ABCA2","LUNG",0,14,1,2,3,14,1,8,6,4
"ABCA2_MUSCLE","ABCA2","MUSCLE",0,10,1,5,2,10,2,10,5,4
"ABCA2_SKIN","ABCA2","SKIN",0,4,2,8,3,11,1,9,7,7
"ABCA2_SMALL","ABCA2","SMALL",1,2,0,3,4,6,1,4,3,4
"ABCA2_SPLEEN","ABCA2","SPLEEN",1,8,0,26,1,5,3,1,4,4
"ABCA2_WAT","ABCA2","WAT",0,1,0,21,9,6,0,1,7,13
"ABCA3_HEART","ABCA3","HEART",2,13,1,4,1,7,1,4,2,1
"ABCA3_KIDNEY-CORTEX","ABCA3","KIDNEY-CORTEX",1,3,2,5,4,4,2,13,3,14
"ABCA3_KIDNEY-MED","ABCA3","KIDNEY-MED",1,1,1,1,NA,3,1,2,1,3
"ABCA3_LARGE","ABCA3","LARGE",1,6,1,1,1,1,1,2,2,1
"ABCA3_LIVER","ABCA3","LIVER",0,3,0,1,9,2,3,6,1,5
"ABCA3_LUNG","ABCA3","LUNG",0,2,1,3,2,8,1,11,2,1
"ABCA3_MUSCLE","ABCA3","MUSCLE",0,6,1,5,2,13,1,2,2,5
"ABCA3_SKIN","ABCA3","SKIN",0,2,1,12,1,3,1,5,2,3
"ABCA3_SMALL","ABCA3","SMALL",1,1,0,3,1,2,1,2,2,2
"ABCA3_SPLEEN","ABCA3","SPLEEN",2,4,0,15,1,2,1,1,2,3
"ABCA3_WAT","ABCA3","WAT",0,1,0,5,3,5,0,1,6,5
"ABCA4_HEART","ABCA4","HEART",1,1,0,1,1,2,0,0,1,1
"ABCA4_KIDNEY-CORTEX","ABCA4","KIDNEY-CORTEX",0,3,1,1,3,3,1,0,1,1
"ABCA4_KIDNEY-MED","ABCA4","KIDNEY-MED",0,1,1,1,NA,0,0,1,1,5
"ABCA4_LARGE","ABCA4","LARGE",1,1,1,1,1,1,1,1,1,1
"ABCA4_LIVER","ABCA4","LIVER",0,1,0,1,0,1,0,1,1,1
"ABCA4_LUNG","ABCA4","LUNG",0,4,0,1,1,1,0,1,1,1
"ABCA4_MUSCLE","ABCA4","MUSCLE",0,2,1,1,0,2,1,4,2,1
"ABCA4_SKIN","ABCA4","SKIN",0,1,1,1,0,2,1,1,1,1
"ABCA4_SMALL","ABCA4","SMALL",0,1,0,1,1,1,0,1,1,2
"ABCA4_SPLEEN","ABCA4","SPLEEN",0,2,0,1,1,1,1,1,0,1
"ABCA4_WAT","ABCA4","WAT",0,1,0,5,4,1,0,1,1,1
"ABCA5_HEART","ABCA5","HEART",1,2,1,1,1,4,1,6,2,1
"ABCA5_KIDNEY-CORTEX","ABCA5","KIDNEY-CORTEX",0,3,2,6,4,1,1,10,2,1
"ABCA5_KIDNEY-MED","ABCA5","KIDNEY-MED",1,1,1,1,NA,2,1,1,1,10
"ABCA5_LARGE","ABCA5","LARGE",1,10,1,1,1,6,1,1,1,1
"ABCA5_LIVER","ABCA5","LIVER",0,2,0,1,1,1,1,5,1,5
"ABCA5_LUNG","ABCA5","LUNG",0,8,1,1,3,9,0,3,2,2
"ABCA5_MUSCLE","ABCA5","MUSCLE",0,3,1,4,1,3,1,6,1,2
"ABCA5_SKIN","ABCA5","SKIN",0,2,0,2,2,3,1,4,3,1
"ABCA5_SMALL","ABCA5","SMALL",1,1,0,2,1,2,1,1,2,1
"ABCA5_SPLEEN","ABCA5","SPLEEN",1,3,0,8,1,1,1,1,0,2
"ABCA5_WAT","ABCA5","WAT",0,1,0,5,3,7,0,1,4,5
"ABCA6_HEART","ABCA6","HEART",2,2,1,5,1,3,2,1,2,1
"ABCA6_KIDNEY-CORTEX","ABCA6","KIDNEY-CORTEX",1,3,1,8,2,8,4,8,4,4
"ABCA6_KIDNEY-MED","ABCA6","KIDNEY-MED",1,1,1,1,NA,2,0,2,1,8
"ABCA6_LARGE","ABCA6","LARGE",1,4,1,1,1,5,2,6,2,1
"ABCA6_LIVER","ABCA6","LIVER",0,3,0,1,18,5,2,2,1,7
"ABCA6_LUNG","ABCA6","LUNG",0,7,1,3,1,7,1,3,4,1
"ABCA6_MUSCLE","ABCA6","MUSCLE",0,1,1,1,1,4,1,4,4,12
"ABCA6_SKIN","ABCA6","SKIN",0,1,1,3,1,2,1,1,4,3
"ABCA6_SMALL","ABCA6","SMALL",1,3,0,1,2,3,1,2,2,1
"ABCA6_SPLEEN","ABCA6","SPLEEN",1,9,0,10,1,2,1,1,3,1
"ABCA6_WAT","ABCA6","WAT",0,1,0,6,3,2,0,1,3,10
"ABCA7_HEART","ABCA7","HEART",1,3,0,5,1,7,0,3,1,1
"ABCA7_KIDNEY-CORTEX","ABCA7","KIDNEY-CORTEX",1,4,2,3,4,3,2,9,1,3
"ABCA7_KIDNEY-MED","ABCA7","KIDNEY-MED",1,1,1,2,NA,3,1,1,1,3
"ABCA7_LARGE","ABCA7","LARGE",1,4,1,1,1,1,1,1,1,1
"ABCA7_LIVER","ABCA7","LIVER",0,2,0,4,0,1,1,3,1,3
"ABCA7_LUNG","ABCA7","LUNG",0,3,0,1,2,7,1,3,2,1
"ABCA7_MUSCLE","ABCA7","MUSCLE",0,7,1,5,1,4,1,1,2,2
"ABCA7_SKIN","ABCA7","SKIN",0,3,1,3,1,3,1,5,2,2
"ABCA7_SMALL","ABCA7","SMALL",0,1,0,3,1,2,1,2,1,1
"ABCA7_SPLEEN","ABCA7","SPLEEN",1,1,0,12,1,1,1,1,1,3
"ABCA7_WAT","ABCA7","WAT",0,1,0,5,2,5,0,1,5,2
"ABCB1_HEART","ABCB1","HEART",4,2,2,1,1,3,2,15,1,1
"ABCB1_KIDNEY-CORTEX","ABCB1","KIDNEY-CORTEX",0,1,1,8,1,3,1,18,2,4
"ABCB1_KIDNEY-MED","ABCB1","KIDNEY-MED",0,1,2,2,NA,6,2,1,1,3
"ABCB1_LARGE","ABCB1","LARGE",2,19,3,1,1,2,1,3,1,1
"ABCB1_LIVER","ABCB1","LIVER",20,2,56,1,5,2,4,16,1,4
"ABCB1_LUNG","ABCB1","LUNG",3,2,2,3,1,14,1,3,1,2
"ABCB1_MUSCLE","ABCB1","MUSCLE",1,3,1,9,0,2,1,1,1,6
"ABCB1_SKIN","ABCB1","SKIN",3,2,1,4,1,1,2,3,2,4
"ABCB1_SMALL","ABCB1","SMALL",1,3,2,8,1,2,1,1,2,1
"ABCB1_SPLEEN","ABCB1","SPLEEN",1,4,2,18,1,2,2,1,1,2
"ABCB1_WAT","ABCB1","WAT",3,1,2,2,2,13,1,1,7,3
"ABCB10_HEART","ABCB10","HEART",1,3,0,3,1,4,1,3,0,1
"ABCB10_KIDNEY-CORTEX","ABCB10","KIDNEY-CORTEX",1,4,1,4,3,1,1,7,2,3
"ABCB10_KIDNEY-MED","ABCB10","KIDNEY-MED",1,1,1,2,NA,2,1,1,1,8
"ABCB10_LARGE","ABCB10","LARGE",1,4,1,1,1,4,1,1,1,1
"ABCB10_LIVER","ABCB10","LIVER",0,2,0,1,3,1,1,2,1,2
"ABCB10_LUNG","ABCB10","LUNG",0,7,0,2,2,6,0,3,1,1
"ABCB10_MUSCLE","ABCB10","MUSCLE",0,4,1,3,0,4,1,5,1,2
"ABCB10_SKIN","ABCB10","SKIN",0,2,1,3,1,3,1,3,2,1
"ABCB10_SMALL","ABCB10","SMALL",0,1,0,2,1,2,1,1,1,2
"ABCB10_SPLEEN","ABCB10","SPLEEN",1,3,0,8,1,1,1,1,1,2
"ABCB10_WAT","ABCB10","WAT",0,1,0,4,2,3,0,1,3,3
"ABCB11_HEART","ABCB11","HEART",0,1,0,1,1,3,2,0,0,1
"ABCB11_KIDNEY-CORTEX","ABCB11","KIDNEY-CORTEX",0,0,0,1,0,0,1,1,0,1
"ABCB11_KIDNEY-MED","ABCB11","KIDNEY-MED",0,1,1,1,NA,0,0,1,1,1
"ABCB11_LARGE","ABCB11","LARGE",1,1,1,1,1,1,0,11,1,1
"ABCB11_LIVER","ABCB11","LIVER",0,1,0,1,22,7,0,1,1,1
"ABCB11_LUNG","ABCB11","LUNG",0,0,0,7,0,0,0,0,0,1
"ABCB11_MUSCLE","ABCB11","MUSCLE",0,1,1,1,0,1,1,1,0,14
"ABCB11_SKIN","ABCB11","SKIN",0,1,0,1,0,1,0,1,0,1
"ABCB11_SMALL","ABCB11","SMALL",0,4,0,1,1,0,1,1,0,1
"ABCB11_SPLEEN","ABCB11","SPLEEN",0,2,0,0,1,1,0,1,0,2
"ABCB11_WAT","ABCB11","WAT",0,1,0,1,0,1,0,1,0,1
"ABCB4_HEART","ABCB4","HEART",0,1,0,1,1,4,2,0,0,1
"ABCB4_KIDNEY-CORTEX","ABCB4","KIDNEY-CORTEX",0,1,2,1,1,1,0,1,0,1
"ABCB4_KIDNEY-MED","ABCB4","KIDNEY-MED",0,1,1,1,NA,0,0,1,1,0
"ABCB4_LARGE","ABCB4","LARGE",1,1,1,1,1,1,1,8,1,1
"ABCB4_LIVER","ABCB4","LIVER",0,1,0,1,33,7,0,1,1,1
"ABCB4_LUNG","ABCB4","LUNG",0,1,0,4,0,2,0,0,1,1
"ABCB4_MUSCLE","ABCB4","MUSCLE",0,1,1,1,0,1,1,1,0,14
"ABCB4_SKIN","ABCB4","SKIN",0,1,0,1,0,1,0,1,0,1
"ABCB4_SMALL","ABCB4","SMALL",0,4,0,1,1,0,1,1,0,1
"ABCB4_SPLEEN","ABCB4","SPLEEN",0,1,0,1,1,1,0,1,1,2
"ABCB4_WAT","ABCB4","WAT",0,1,0,1,0,1,0,1,0,2
"ABCB6_HEART","ABCB6","HEART",1,3,0,3,1,2,1,3,1,1
"ABCB6_KIDNEY-CORTEX","ABCB6","KIDNEY-CORTEX",1,4,1,6,3,4,1,18,3,2
"ABCB6_KIDNEY-MED","ABCB6","KIDNEY-MED",1,1,1,1,NA,6,1,1,1,7
"ABCB6_LARGE","ABCB6","LARGE",1,5,1,1,1,3,1,1,1,1
"ABCB6_LIVER","ABCB6","LIVER",0,2,0,2,0,1,4,3,1,5
"ABCB6_LUNG","ABCB6","LUNG",0,5,0,1,1,11,1,1,2,2
"ABCB6_MUSCLE","ABCB6","MUSCLE",0,2,1,4,1,2,1,3,2,1
"ABCB6_SKIN","ABCB6","SKIN",0,4,1,1,1,4,1,1,2,3
"ABCB6_SMALL","ABCB6","SMALL",1,1,0,2,2,2,0,2,1,1
"ABCB6_SPLEEN","ABCB6","SPLEEN",1,2,0,15,1,2,1,1,1,1
"ABCB6_WAT","ABCB6","WAT",0,1,0,8,3,4,0,1,4,3
"ABCB7_HEART","ABCB7","HEART",1,2,0,1,1,4,1,3,1,1
"ABCB7_KIDNEY-CORTEX","ABCB7","KIDNEY-CORTEX",1,5,2,3,3,3,1,6,2,2
"ABCB7_KIDNEY-MED","ABCB7","KIDNEY-MED",1,1,1,2,NA,2,1,1,1,9
"ABCB7_LARGE","ABCB7","LARGE",1,3,1,1,1,3,1,1,1,1
"ABCB7_LIVER","ABCB7","LIVER",0,2,0,1,3,1,1,1,1,4
"ABCB7_LUNG","ABCB7","LUNG",0,6,1,2,2,5,1,3,2,1
"ABCB7_MUSCLE","ABCB7","MUSCLE",0,3,1,2,0,2,1,5,1,5
"ABCB7_SKIN","ABCB7","SKIN",0,1,1,2,1,3,1,3,2,1
"ABCB7_SMALL","ABCB7","SMALL",1,1,0,2,1,2,1,1,2,1
"ABCB7_SPLEEN","ABCB7","SPLEEN",1,2,0,8,1,1,1,1,1,2
"ABCB7_WAT","ABCB7","WAT",0,1,0,5,3,2,0,1,3,4
"ABCB8_HEART","ABCB8","HEART",2,3,0,5,1,5,1,2,1,1
"ABCB8_KIDNEY-CORTEX","ABCB8","KIDNEY-CORTEX",1,7,1,4,4,4,2,9,3,3
"ABCB8_KIDNEY-MED","ABCB8","KIDNEY-MED",1,1,1,1,NA,2,1,1,1,6
"ABCB8_LARGE","ABCB8","LARGE",1,3,1,1,1,4,1,2,2,1
"ABCB8_LIVER","ABCB8","LIVER",0,3,0,1,2,1,2,4,1,5
"ABCB8_LUNG","ABCB8","LUNG",0,5,1,1,1,7,1,2,2,2
"ABCB8_MUSCLE","ABCB8","MUSCLE",0,5,1,3,1,3,1,3,2,3
"ABCB8_SKIN","ABCB8","SKIN",0,2,1,2,1,4,1,2,3,3
"ABCB8_SMALL","ABCB8","SMALL",1,2,0,2,2,2,1,2,2,2
"ABCB8_SPLEEN","ABCB8","SPLEEN",1,3,0,12,1,2,2,1,2,2
"ABCB8_WAT","ABCB8","WAT",0,1,0,6,3,4,0,1,4,4
"ABCC1_HEART","ABCC1","HEART",2,5,1,6,1,14,1,3,3,1
"ABCC1_KIDNEY-CORTEX","ABCC1","KIDNEY-CORTEX",4,8,3,8,7,5,3,18,4,6
"ABCC1_KIDNEY-MED","ABCC1","KIDNEY-MED",1,1,1,4,NA,6,1,3,1,5
"ABCC1_LARGE","ABCC1","LARGE",1,7,1,1,1,3,1,1,1,1
"ABCC1_LIVER","ABCC1","LIVER",0,4,0,2,2,1,4,6,1,9
"ABCC1_LUNG","ABCC1","LUNG",0,5,1,1,3,11,1,5,3,2
"ABCC1_MUSCLE","ABCC1","MUSCLE",0,10,1,6,3,5,1,4,4,3
"ABCC1_SKIN","ABCC1","SKIN",0,4,1,4,3,5,1,8,5,5
"ABCC1_SMALL","ABCC1","SMALL",1,1,0,3,2,4,1,3,3,3
"ABCC1_SPLEEN","ABCC1","SPLEEN",1,6,0,27,1,3,2,1,2,3
"ABCC1_WAT","ABCC1","WAT",0,1,0,8,3,5,0,1,7,8
"ABCC10_HEART","ABCC10","HEART",2,6,1,7,1,14,1,5,2,1
"ABCC10_KIDNEY-CORTEX","ABCC10","KIDNEY-CORTEX",1,6,3,9,5,3,3,13,3,6
"ABCC10_KIDNEY-MED","ABCC10","KIDNEY-MED",1,1,1,4,NA,6,1,2,1,8
"ABCC10_LARGE","ABCC10","LARGE",1,7,1,1,1,4,2,2,2,1
"ABCC10_LIVER","ABCC10","LIVER",0,3,0,3,7,1,4,8,1,6
"ABCC10_LUNG","ABCC10","LUNG",0,8,1,1,4,10,1,4,3,4
"ABCC10_MUSCLE","ABCC10","MUSCLE",0,10,1,7,2,6,1,6,3,5
"ABCC10_SKIN","ABCC10","SKIN",0,3,1,4,2,6,1,9,3,6
"ABCC10_SMALL","ABCC10","SMALL",1,1,0,3,2,3,1,2,2,3
"ABCC10_SPLEEN","ABCC10","SPLEEN",1,4,0,18,1,2,2,1,2,4
"ABCC10_WAT","ABCC10","WAT",0,1,0,8,4,6,0,1,8,5
"ABCC2_HEART","ABCC2","HEART",0,1,0,1,1,2,1,5,0,1
"ABCC2_KIDNEY-CORTEX","ABCC2","KIDNEY-CORTEX",1,18,0,5,6,1,1,2,0,1
"ABCC2_KIDNEY-MED","ABCC2","KIDNEY-MED",0,1,1,1,NA,1,1,1,1,27
"ABCC2_LARGE","ABCC2","LARGE",1,6,1,1,1,15,1,7,1,1
"ABCC2_LIVER","ABCC2","LIVER",0,1,0,1,22,4,1,4,1,1
"ABCC2_LUNG","ABCC2","LUNG",0,19,1,5,0,4,1,0,1,1
"ABCC2_MUSCLE","ABCC2","MUSCLE",0,2,1,4,0,1,2,20,1,11
"ABCC2_SKIN","ABCC2","SKIN",0,1,1,1,1,13,1,1,0,1
"ABCC2_SMALL","ABCC2","SMALL",0,4,0,3,3,0,1,1,1,4
"ABCC2_SPLEEN","ABCC2","SPLEEN",0,1,0,5,1,2,2,1,1,2
"ABCC2_WAT","ABCC2","WAT",0,1,0,14,4,5,0,1,2,2
"ABCC3_HEART","ABCC3","HEART",3,6,2,4,1,9,2,4,0,1
"ABCC3_KIDNEY-CORTEX","ABCC3","KIDNEY-CORTEX",0,5,2,9,8,3,1,30,1,5
"ABCC3_KIDNEY-MED","ABCC3","KIDNEY-MED",1,1,3,2,NA,9,1,1,1,5
"ABCC3_LARGE","ABCC3","LARGE",3,6,4,1,1,2,2,3,0,1
"ABCC3_LIVER","ABCC3","LIVER",16,3,39,2,11,3,9,5,1,5
"ABCC3_LUNG","ABCC3","LUNG",4,4,2,2,2,20,1,5,1,1
"ABCC3_MUSCLE","ABCC3","MUSCLE",2,7,1,4,1,6,2,3,1,8
"ABCC3_SKIN","ABCC3","SKIN",2,7,2,6,2,3,2,4,2,6
"ABCC3_SMALL","ABCC3","SMALL",1,3,1,4,2,2,1,1,1,2
"ABCC3_SPLEEN","ABCC3","SPLEEN",3,3,4,32,1,2,4,1,1,4
"ABCC3_WAT","ABCC3","WAT",3,1,4,7,3,6,1,1,8,2
"ABCC4_HEART","ABCC4","HEART",5,3,3,3,1,8,2,2,2,1
"ABCC4_KIDNEY-CORTEX","ABCC4","KIDNEY-CORTEX",2,13,3,8,9,2,1,10,2,4
"ABCC4_KIDNEY-MED","ABCC4","KIDNEY-MED",1,1,4,3,NA,2,2,1,1,26
"ABCC4_LARGE","ABCC4","LARGE",2,4,2,1,1,15,1,3,0,1
"ABCC4_LIVER","ABCC4","LIVER",7,3,21,3,6,2,3,3,1,5
"ABCC4_LUNG","ABCC4","LUNG",3,21,1,1,2,7,1,3,2,1
"ABCC4_MUSCLE","ABCC4","MUSCLE",3,8,1,2,1,4,4,19,1,2
"ABCC4_SKIN","ABCC4","SKIN",2,3,2,4,3,14,1,4,3,2
"ABCC4_SMALL","ABCC4","SMALL",1,2,1,2,3,3,1,1,2,5
"ABCC4_SPLEEN","ABCC4","SPLEEN",1,1,5,13,1,1,6,1,1,3
"ABCC4_WAT","ABCC4","WAT",3,1,3,19,8,2,1,1,4,4
"ABCC5_HEART","ABCC5","HEART",2,8,1,8,1,17,1,3,2,1
"ABCC5_KIDNEY-CORTEX","ABCC5","KIDNEY-CORTEX",2,11,5,13,9,4,3,13,3,12
"ABCC5_KIDNEY-MED","ABCC5","KIDNEY-MED",1,1,1,4,NA,4,1,1,1,15
"ABCC5_LARGE","ABCC5","LARGE",1,4,1,1,1,7,2,1,1,1
"ABCC5_LIVER","ABCC5","LIVER",0,3,0,4,2,1,2,4,1,8
"ABCC5_LUNG","ABCC5","LUNG",0,10,1,2,5,9,1,10,3,2
"ABCC5_MUSCLE","ABCC5","MUSCLE",0,11,1,3,2,11,2,7,3,2
"ABCC5_SKIN","ABCC5","SKIN",0,2,1,8,4,9,1,11,4,4
"ABCC5_SMALL","ABCC5","SMALL",1,1,0,2,3,3,1,2,2,3
"ABCC5_SPLEEN","ABCC5","SPLEEN",2,4,0,13,1,2,2,1,2,7
"ABCC5_WAT","ABCC5","WAT",0,1,0,12,5,4,0,1,6,6
"ABCC6_HEART","ABCC6","HEART",0,1,0,1,1,4,2,2,1,1
"ABCC6_KIDNEY-CORTEX","ABCC6","KIDNEY-CORTEX",1,9,1,2,5,1,0,1,0,1
"ABCC6_KIDNEY-MED","ABCC6","KIDNEY-MED",0,1,1,1,NA,1,1,1,1,17
"ABCC6_LARGE","ABCC6","LARGE",1,2,1,1,1,8,1,7,1,1
"ABCC6_LIVER","ABCC6","LIVER",0,1,0,1,38,6,0,1,1,1
"ABCC6_LUNG","ABCC6","LUNG",0,14,0,8,0,2,0,1,0,1
"ABCC6_MUSCLE","ABCC6","MUSCLE",0,1,1,2,0,1,2,11,1,15
"ABCC6_SKIN","ABCC6","SKIN",0,1,0,1,0,9,1,1,1,1
"ABCC6_SMALL","ABCC6","SMALL",0,3,0,2,3,0,2,1,1,3
"ABCC6_SPLEEN","ABCC6","SPLEEN",0,2,0,3,1,1,2,1,1,2
"ABCC6_WAT","ABCC6","WAT",0,1,0,10,3,2,0,1,1,2
"ABCC9_HEART","ABCC9","HEART",2,4,1,4,1,7,1,2,4,1
"ABCC9_KIDNEY-CORTEX","ABCC9","KIDNEY-CORTEX",2,4,3,7,3,5,2,4,6,7
"ABCC9_KIDNEY-MED","ABCC9","KIDNEY-MED",1,1,1,3,NA,0,0,2,1,7
"ABCC9_LARGE","ABCC9","LARGE",1,3,1,1,1,3,1,1,1,1
"ABCC9_LIVER","ABCC9","LIVER",0,6,0,1,2,1,0,1,1,17
"ABCC9_LUNG","ABCC9","LUNG",0,4,1,1,3,4,1,7,5,1
"ABCC9_MUSCLE","ABCC9","MUSCLE",0,5,1,1,2,4,1,2,2,2
"ABCC9_SKIN","ABCC9","SKIN",0,1,1,4,2,3,1,4,7,1
"ABCC9_SMALL","ABCC9","SMALL",1,1,0,1,1,6,1,2,3,1
"ABCC9_SPLEEN","ABCC9","SPLEEN",1,4,0,10,1,1,1,1,1,3
"ABCC9_WAT","ABCC9","WAT",0,1,0,3,2,2,0,1,3,16
"ABCD1_HEART","ABCD1","HEART",2,3,1,3,1,8,1,3,2,1
"ABCD1_KIDNEY-CORTEX","ABCD1","KIDNEY-CORTEX",1,5,2,5,3,3,2,9,4,3
"ABCD1_KIDNEY-MED","ABCD1","KIDNEY-MED",1,1,1,3,NA,2,1,1,1,5
"ABCD1_LARGE","ABCD1","LARGE",1,3,1,1,1,3,1,1,1,1
"ABCD1_LIVER","ABCD1","LIVER",0,4,0,1,2,1,2,3,1,8
"ABCD1_LUNG","ABCD1","LUNG",0,4,0,1,2,6,1,2,3,1
"ABCD1_MUSCLE","ABCD1","MUSCLE",0,6,1,3,2,3,1,3,2,2
"ABCD1_SKIN","ABCD1","SKIN",0,3,0,3,2,3,1,5,4,4
"ABCD1_SMALL","ABCD1","SMALL",1,1,0,2,1,4,1,2,2,1
"ABCD1_SPLEEN","ABCD1","SPLEEN",1,2,0,13,1,3,1,1,1,2
"ABCD1_WAT","ABCD1","WAT",0,1,0,5,2,3,0,1,3,8
"ABCD3_HEART","ABCD3","HEART",2,3,1,3,1,3,1,4,2,1
"ABCD3_KIDNEY-CORTEX","ABCD3","KIDNEY-CORTEX",1,9,2,7,5,7,2,13,4,4
"ABCD3_KIDNEY-MED","ABCD3","KIDNEY-MED",1,1,1,1,NA,4,1,1,1,15
"ABCD3_LARGE","ABCD3","LARGE",1,6,1,1,1,7,1,2,1,1
"ABCD3_LIVER","ABCD3","LIVER",0,3,0,2,12,1,2,4,1,7
"ABCD3_LUNG","ABCD3","LUNG",0,14,1,2,2,11,1,4,4,1
"ABCD3_MUSCLE","ABCD3","MUSCLE",0,3,1,3,1,3,1,12,2,6
"ABCD3_SKIN","ABCD3","SKIN",0,3,1,3,1,8,1,3,4,3
"ABCD3_SMALL","ABCD3","SMALL",1,2,0,2,2,3,1,2,2,2
"ABCD3_SPLEEN","ABCD3","SPLEEN",1,5,0,13,1,1,2,1,1,2
"ABCD3_WAT","ABCD3","WAT",0,1,0,9,4,3,0,1,4,7
"ABCD4_HEART","ABCD4","HEART",1,3,1,3,1,5,1,3,1,1
"ABCD4_KIDNEY-CORTEX","ABCD4","KIDNEY-CORTEX",1,6,1,4,4,3,2,7,2,4
"ABCD4_KIDNEY-MED","ABCD4","KIDNEY-MED",0,1,1,2,NA,2,1,1,1,8
"ABCD4_LARGE","ABCD4","LARGE",1,5,1,1,1,5,1,2,1,1
"ABCD4_LIVER","ABCD4","LIVER",0,1,0,1,4,1,1,3,1,4
"ABCD4_LUNG","ABCD4","LUNG",0,7,1,2,2,6,1,2,2,2
"ABCD4_MUSCLE","ABCD4","MUSCLE",0,5,1,4,0,3,1,6,2,4
"ABCD4_SKIN","ABCD4","SKIN",0,2,1,2,2,5,1,3,2,2
"ABCD4_SMALL","ABCD4","SMALL",1,1,0,2,2,2,1,2,2,2
"ABCD4_SPLEEN","ABCD4","SPLEEN",1,3,0,11,1,1,1,1,1,2
"ABCD4_WAT","ABCD4","WAT",0,1,0,6,3,4,0,1,4,3
"ABCE1_HEART","ABCE1","HEART",1,3,0,1,1,4,1,4,1,1
"ABCE1_KIDNEY-CORTEX","ABCE1","KIDNEY-CORTEX",1,4,2,7,3,3,1,8,2,3
"ABCE1_KIDNEY-MED","ABCE1","KIDNEY-MED",1,1,1,2,NA,1,1,1,1,11
"ABCE1_LARGE","ABCE1","LARGE",1,4,1,1,1,5,1,2,1,1
"ABCE1_LIVER","ABCE1","LIVER",0,2,0,1,4,1,2,2,1,3
"ABCE1_LUNG","ABCE1","LUNG",0,8,1,1,2,8,1,4,2,1
"ABCE1_MUSCLE","ABCE1","MUSCLE",0,3,1,2,1,3,1,6,1,6
"ABCE1_SKIN","ABCE1","SKIN",0,2,1,1,1,4,1,3,2,1
"ABCE1_SMALL","ABCE1","SMALL",1,2,0,2,1,2,1,1,1,1
"ABCE1_SPLEEN","ABCE1","SPLEEN",1,4,0,10,1,1,1,1,0,2
"ABCE1_WAT","ABCE1","WAT",0,1,0,4,3,2,0,1,4,4
"ABCF1_HEART","ABCF1","HEART",2,6,1,7,1,13,1,4,3,1
"ABCF1_KIDNEY-CORTEX","ABCF1","KIDNEY-CORTEX",3,9,3,8,6,7,3,15,4,6
"ABCF1_KIDNEY-MED","ABCF1","KIDNEY-MED",1,1,1,5,NA,5,1,2,1,12
"ABCF1_LARGE","ABCF1","LARGE",1,7,1,1,1,7,1,4,1,1
"ABCF1_LIVER","ABCF1","LIVER",0,5,0,2,10,3,3,5,1,10
"ABCF1_LUNG","ABCF1","LUNG",0,8,1,2,3,11,1,5,4,4
